card_no,bird_name,search_key,audio_file,audio_path,clip_index,clip_type,is_main,source_id,file_size_bytes
411,Violet Cuckoo,violetcuckoo,411_Violet_Cuckoo_XC740458_4_call.m4a,src/AudioClip/411_Violet_Cuckoo_XC740458_4_call.m4a,4,call,false,XC740458,11093
412,Asian Koel,asiankoel,412_Asian_Koel_1_call_main.m4a,src/AudioClip/412_Asian_Koel_1_call_main.m4a,1,call,true,,56373
412,Asian Koel,asiankoel,412_Asian_Koel_2_call.m4a,src/AudioClip/412_Asian_Koel_2_call.m4a,2,call,false,,31319
412,Asian Koel,asiankoel,412_Asian_Koel_3_call.m4a,src/AudioClip/412_Asian_Koel_3_call.m4a,3,call,false,,16300
413,Green Pheasant,greenpheasant,413_Green_Pheasant_2_call.m4a,src/AudioClip/413_Green_Pheasant_2_call.m4a,2,call,false,,15529
414,Purple Heron,purpleheron,414_Purple_Heron_1_call_main.m4a,src/AudioClip/414_Purple_Heron_1_call_main.m4a,1,call,true,,22564
414,Purple Heron,purpleheron,414_Purple_Heron_2_call.m4a,src/AudioClip/414_Purple_Heron_2_call.m4a,2,call,false,,9732
414,Purple Heron,purpleheron,414_Purple_Heron_4_call.m4a,src/AudioClip/414_Purple_Heron_4_call.m4a,4,call,false,,14596
414,Rock Pigeon,rockpigeon,414_Rock_Pigeon_1_call_main.m4a,src/AudioClip/414_Rock_Pigeon_1_call_main.m4a,1,call,true,,49695
414,Rock Pigeon,rockpigeon,414_Rock_Pigeon_2_call.m4a,src/AudioClip/414_Rock_Pigeon_2_call.m4a,2,call,false,,13239
414,Rock Pigeon,rockpigeon,414_Rock_Pigeon_4_call.m4a,src/AudioClip/414_Rock_Pigeon_4_call.m4a,4,call,false,,11746
415,Golden Pheasant,goldenpheasant,415_Golden_Pheasant_1_call_main.m4a,src/AudioClip/415_Golden_Pheasant_1_call_main.m4a,1,call,true,,46793
415,Golden Pheasant,goldenpheasant,415_Golden_Pheasant_2_call.m4a,src/AudioClip/415_Golden_Pheasant_2_call.m4a,2,call,false,,15544
